t / s	U_A1 / V	U_B1 / V
0,0	1,935	0,075
0,1	1,977	0,126
0,2	2,045	0,204
0,3	2,138	0,293
0,4	2,240	0,395
0,5	2,340	0,489
0,6	2,432	0,573
0,7	2,510	0,641
0,8	2,559	0,675
0,9	2,579	0,680
1,0	2,564	0,656
1,1	2,517	0,600
1,2	2,442	0,524
1,3	2,346	0,426
1,4	2,241	0,327
1,5	2,136	0,231
1,6	2,046	0,147
1,7	1,976	0,093
1,8	1,934	0,063
1,9	1,925	0,063
2,0	1,947	0,098
2,1	2,004	0,158
2,2	2,081	0,243
2,3	2,180	0,336
2,4	2,285	0,434
2,5	2,385	0,528
2,6	2,478	0,605
2,7	2,543	0,653
2,8	2,576	0,677
2,9	2,576	0,671
3,0	2,544	0,627
3,1	2,484	0,564
3,2	2,399	0,476
3,3	2,300	0,380
3,4	2,192	0,281
3,5	2,094	0,189
3,6	2,010	0,120
3,7	1,952	0,075
3,8	1,923	0,062
3,9	1,929	0,074
4,0	1,971	0,122
4,1	2,037	0,195
4,2	2,127	0,285
4,3	2,228	0,380
4,4	2,333	0,474
4,5	2,429	0,566
4,6	2,507	0,630
4,7	2,561	0,671
4,8	2,582	0,677
4,9	2,564	0,654
5,0	2,517	0,603
5,1	2,448	0,528
5,2	2,355	0,437
5,3	2,250	0,336
5,4	2,145	0,243
5,5	2,051	0,162
5,6	1,982	0,098
5,7	1,937	0,066
5,8	1,922	0,065
5,9	1,944	0,096
6,0	1,995	0,150
6,1	2,075	0,228
6,2	2,169	0,323
6,3	2,277	0,426
6,4	2,381	0,519
6,5	2,471	0,596
6,6	2,538	0,648
6,7	2,574	0,678
6,8	2,582	0,669
6,9	2,550	0,635
7,0	2,490	0,570
7,1	2,403	0,483
7,2	2,304	0,389
7,3	2,198	0,288
7,4	2,099	0,201
7,5	2,013	0,129
7,6	1,950	0,083
7,7	1,922	0,065
7,8	1,929	0,078
7,9	1,965	0,120
8,0	2,030	0,186
8,1	2,121	0,275
8,2	2,223	0,372
8,3	2,328	0,470
8,4	2,426	0,555
8,5	2,502	0,620
8,6	2,558	0,666
8,7	2,580	0,674
8,8	2,565	0,654
8,9	2,523	0,608
9,0	2,453	0,534
9,1	2,361	0,444
9,2	2,258	0,348
9,3	2,153	0,252
9,4	2,060	0,170
9,5	1,986	0,108
9,6	1,940	0,072
9,7	1,922	0,068
9,8	1,943	0,092
9,9	1,994	0,146
10,0	2,072	0,225
10,1	2,165	0,312
10,2	2,270	0,413
10,3	2,373	0,510
10,4	2,466	0,587
10,5	2,537	0,641
10,6	2,574	0,672
10,7	2,582	0,671
10,8	2,555	0,636
10,9	2,498	0,576
11,0	2,414	0,495
11,1	2,312	0,402
11,2	2,207	0,305
11,3	2,102	0,213
11,4	2,019	0,141
11,5	1,959	0,089
11,6	1,926	0,068
11,7	1,925	0,075
11,8	1,961	0,114
11,9	2,025	0,179
12,0	2,115	0,267
12,1	2,219	0,360
12,2	2,318	0,461
12,3	2,417	0,548
12,4	2,499	0,617
12,5	2,556	0,662
12,6	2,579	0,678
12,7	2,571	0,662
12,8	2,529	0,615
12,9	2,456	0,543
13,0	2,367	0,456
13,1	2,262	0,360
13,2	2,157	0,263
13,3	2,063	0,177
13,4	1,986	0,113
13,5	1,937	0,075
13,6	1,922	0,066
13,7	1,941	0,095
13,8	1,995	0,140
13,9	2,069	0,216
14,0	2,163	0,306
14,1	2,268	0,401
14,2	2,372	0,494
14,3	2,466	0,576
14,4	2,532	0,639
14,5	2,574	0,672
14,6	2,583	0,672
14,7	2,556	0,645
14,8	2,499	0,585
14,9	2,417	0,504
15,0	2,319	0,413
15,1	2,214	0,318
15,2	2,114	0,225
15,3	2,027	0,146
15,4	1,964	0,092
15,5	1,929	0,066
15,6	1,925	0,072
15,7	1,962	0,111
15,8	2,027	0,171
15,9	2,111	0,255
16,0	2,211	0,347
16,1	2,318	0,444
16,2	2,417	0,534
16,3	2,496	0,611
16,4	2,553	0,653
16,5	2,579	0,674
16,6	2,573	0,662
16,7	2,532	0,620
16,8	2,462	0,551
16,9	2,373	0,467
17,0	2,271	0,369
17,1	2,168	0,270
17,2	2,067	0,188
17,3	1,995	0,122
17,4	1,943	0,077
17,5	1,926	0,065
17,6	1,946	0,084
17,7	1,992	0,132
17,8	2,064	0,206
17,9	2,160	0,296
18,0	2,261	0,393
18,1	2,364	0,489
18,2	2,457	0,570
18,3	2,523	0,635
18,4	2,570	0,672
18,5	2,580	0,675
18,6	2,558	0,648
18,7	2,504	0,594
18,8	2,421	0,518
18,9	2,322	0,426
19,0	2,219	0,327
19,1	2,120	0,234
19,2	2,030	0,153
19,3	1,965	0,095
19,4	1,931	0,068
19,5	1,928	0,069
19,6	1,959	0,104
19,7	2,018	0,161
19,8	2,105	0,245
19,9	2,205	0,335
20,0	2,306	0,437
20,1	2,405	0,530
20,2	2,492	0,605
20,3	2,549	0,651
20,4	2,577	0,675
20,5	2,573	0,666
20,6	2,535	0,629
20,7	2,465	0,563
20,8	2,378	0,480
20,9	2,277	0,380
21,0	2,172	0,285
21,1	2,075	0,194
21,2	1,995	0,126
21,3	1,946	0,083
21,4	1,926	0,066
21,5	1,938	0,080
21,6	1,983	0,131
21,7	2,058	0,194
21,8	2,148	0,282
21,9	2,253	0,380
22,0	2,355	0,479
22,1	2,448	0,564
22,2	2,519	0,630
22,3	2,559	0,668
22,4	2,577	0,675
22,5	2,556	0,654
22,6	2,502	0,605
22,7	2,426	0,528
22,8	2,333	0,438
22,9	2,228	0,342
23,0	2,126	0,245
23,1	2,040	0,164
23,2	1,976	0,102
23,3	1,935	0,068
23,4	1,932	0,071
23,5	1,959	0,096
23,6	2,018	0,150
23,7	2,099	0,236
23,8	2,201	0,333
23,9	2,304	0,426
24,0	2,400	0,519
24,1	2,484	0,599
24,2	2,541	0,650
24,3	2,573	0,674
24,4	2,570	0,674
24,5	2,535	0,636
24,6	2,469	0,572
24,7	2,382	0,489
24,8	2,285	0,392
24,9	2,178	0,294
25,0	2,085	0,206
25,1	2,006	0,132
25,2	1,953	0,084
25,3	1,932	0,066
25,4	1,944	0,078
25,5	1,983	0,120
25,6	2,054	0,188
25,7	2,147	0,281
25,8	2,247	0,374
25,9	2,346	0,470
26,0	2,439	0,558
26,1	2,513	0,623
26,2	2,559	0,671
26,3	2,576	0,680
26,4	2,556	0,662
26,5	2,507	0,614
26,6	2,432	0,539
26,7	2,339	0,446
26,8	2,235	0,351
26,9	2,132	0,255
27,0	2,045	0,168
27,1	1,979	0,104
27,2	1,940	0,069
27,3	1,934	0,065
27,4	1,962	0,095
27,5	2,015	0,150
27,6	2,096	0,225
27,7	2,192	0,323
27,8	2,294	0,417
27,9	2,393	0,512
28,0	2,480	0,593
28,1	2,540	0,651
28,2	2,573	0,678
28,3	2,573	0,674
28,4	2,537	0,645
28,5	2,475	0,585
28,6	2,393	0,498
28,7	2,294	0,404
28,8	2,187	0,305
28,9	2,094	0,212
29,0	2,015	0,137
29,1	1,962	0,084
29,2	1,935	0,065
29,3	1,943	0,074
29,4	1,985	0,114
29,5	2,051	0,180
29,6	2,136	0,261
29,7	2,238	0,357
