t / s	U_A1 / V	U_B1 / V
0,0	2,301	0,312
0,1	2,313	0,320
0,2	2,304	0,348
0,3	2,279	0,393
0,4	2,232	0,453
0,5	2,175	0,515
0,6	2,117	0,576
0,7	2,066	0,623
0,8	2,028	0,650
0,9	2,003	0,656
1,0	1,998	0,638
1,1	2,013	0,599
1,2	2,049	0,551
1,3	2,099	0,485
1,4	2,153	0,425
1,5	2,205	0,369
1,6	2,252	0,320
1,7	2,283	0,302
1,8	2,298	0,299
1,9	2,292	0,326
2,0	2,268	0,366
2,1	2,231	0,423
2,2	2,177	0,491
2,3	2,124	0,552
2,4	2,078	0,608
2,5	2,039	0,645
2,6	2,019	0,665
2,7	2,015	0,657
2,8	2,030	0,627
2,9	2,064	0,579
3,0	2,108	0,515
3,1	2,159	0,452
3,2	2,210	0,387
3,3	2,252	0,336
3,4	2,279	0,300
3,5	2,291	0,287
3,6	2,283	0,303
3,7	2,258	0,338
3,8	2,219	0,395
3,9	2,171	0,456
4,0	2,120	0,521
4,1	2,073	0,582
4,2	2,037	0,629
4,3	2,018	0,660
4,4	2,016	0,665
4,5	2,033	0,644
4,6	2,064	0,603
4,7	2,106	0,548
4,8	2,159	0,483
4,9	2,211	0,420
5,0	2,253	0,362
5,1	2,282	0,321
5,2	2,298	0,303
5,3	2,291	0,305
5,4	2,265	0,326
5,5	2,226	0,372
5,6	2,171	0,425
5,7	2,112	0,489
5,8	2,058	0,554
5,9	2,022	0,608
6,0	2,003	0,641
6,1	2,003	0,654
6,2	2,019	0,644
6,3	2,057	0,612
6,4	2,106	0,563
6,5	2,162	0,506
6,6	2,217	0,443
6,7	2,267	0,387
6,8	2,300	0,345
6,9	2,315	0,321
7,0	2,307	0,314
7,1	2,280	0,327
7,2	2,235	0,360
7,3	2,180	0,413
7,4	2,121	0,470
7,5	2,066	0,528
7,6	2,019	0,579
7,7	1,989	0,621
7,8	1,980	0,632
7,9	1,997	0,630
8,0	2,031	0,609
8,1	2,078	0,567
8,2	2,142	0,516
8,3	2,205	0,459
8,4	2,262	0,408
8,5	2,304	0,365
8,6	2,328	0,339
8,7	2,328	0,332
8,8	2,306	0,342
8,9	2,268	0,374
9,0	2,211	0,419
9,1	2,145	0,467
9,2	2,079	0,522
9,3	2,024	0,567
9,4	1,988	0,603
9,5	1,971	0,618
9,6	1,977	0,617
9,7	2,009	0,599
9,8	2,055	0,561
9,9	2,114	0,515
10,0	2,180	0,461
10,1	2,243	0,411
10,2	2,292	0,375
10,3	2,328	0,348
10,4	2,337	0,341
10,5	2,325	0,356
10,6	2,295	0,381
10,7	2,238	0,423
10,8	2,174	0,477
10,9	2,112	0,527
11,0	2,051	0,567
11,1	2,000	0,605
11,2	1,971	0,618
11,3	1,968	0,615
11,4	1,988	0,597
11,5	2,028	0,555
11,6	2,084	0,507
11,7	2,147	0,456
11,8	2,211	0,411
11,9	2,271	0,368
12,0	2,313	0,342
12,1	2,334	0,339
12,2	2,333	0,354
12,3	2,307	0,383
12,4	2,264	0,431
12,5	2,207	0,480
12,6	2,141	0,531
12,7	2,081	0,575
12,8	2,033	0,609
12,9	1,991	0,624
13,0	1,976	0,624
13,1	1,985	0,603
13,2	2,015	0,563
13,3	2,063	0,512
13,4	2,121	0,455
13,5	2,183	0,399
13,6	2,240	0,359
13,7	2,289	0,330
13,8	2,316	0,323
13,9	2,324	0,336
14,0	2,307	0,368
14,1	2,271	0,414
14,2	2,223	0,471
14,3	2,168	0,528
14,4	2,106	0,582
14,5	2,054	0,621
14,6	2,016	0,642
14,7	2,000	0,644
14,8	2,000	0,621
14,9	2,018	0,581
15,0	2,058	0,527
15,1	2,109	0,467
15,2	2,166	0,407
15,3	2,217	0,353
15,4	2,264	0,317
15,5	2,294	0,303
15,6	2,306	0,315
15,7	2,297	0,342
15,8	2,270	0,390
15,9	2,226	0,446
16,0	2,175	0,507
16,1	2,120	0,573
16,2	2,070	0,618
16,3	2,036	0,651
16,4	2,015	0,660
16,5	2,016	0,647
16,6	2,034	0,609
16,7	2,064	0,557
16,8	2,112	0,492
16,9	2,163	0,423
17,0	2,211	0,366
17,1	2,255	0,323
17,2	2,280	0,297
17,3	2,289	0,296
17,4	2,285	0,315
17,5	2,255	0,356
17,6	2,216	0,416
17,7	2,168	0,482
17,8	2,117	0,546
17,9	2,070	0,605
18,0	2,037	0,648
18,1	2,018	0,665
18,2	2,021	0,660
18,3	2,037	0,635
18,4	2,072	0,587
18,5	2,118	0,525
18,6	2,171	0,464
18,7	2,219	0,398
18,8	2,259	0,344
18,9	2,283	0,308
19,0	2,292	0,293
19,1	2,280	0,303
19,2	2,250	0,338
19,3	2,208	0,387
19,4	2,159	0,449
19,5	2,108	0,518
19,6	2,061	0,578
19,7	2,027	0,627
19,8	2,010	0,651
19,9	2,012	0,657
20,0	2,034	0,641
20,1	2,072	0,603
20,2	2,121	0,551
20,3	2,175	0,488
20,4	2,228	0,426
20,5	2,268	0,368
20,6	2,295	0,330
20,7	2,306	0,311
20,8	2,295	0,311
20,9	2,267	0,333
21,0	2,219	0,371
21,1	2,163	0,428
21,2	2,109	0,489
21,3	2,058	0,546
21,4	2,018	0,596
21,5	1,995	0,630
21,6	1,992	0,644
21,7	2,012	0,638
21,8	2,049	0,609
21,9	2,106	0,561
22,0	2,162	0,506
22,1	2,220	0,450
22,2	2,271	0,396
22,3	2,304	0,354
22,4	2,322	0,330
22,5	2,318	0,326
22,6	2,286	0,338
22,7	2,241	0,374
22,8	2,187	0,422
22,9	2,124	0,474
23,0	2,066	0,531
23,1	2,019	0,576
23,2	1,991	0,608
23,3	1,977	0,626
23,4	1,992	0,618
23,5	2,025	0,596
23,6	2,075	0,557
23,7	2,136	0,506
23,8	2,202	0,453
23,9	2,259	0,405
24,0	2,306	0,372
24,1	2,331	0,348
24,2	2,333	0,341
24,3	2,310	0,354
24,4	2,268	0,386
24,5	2,213	0,431
24,6	2,151	0,477
24,7	2,085	0,530
24,8	2,027	0,570
24,9	1,986	0,602
25,0	1,967	0,612
25,1	1,971	0,608
25,2	1,998	0,581
25,3	2,046	0,545
25,4	2,105	0,501
25,5	2,172	0,449
25,6	2,238	0,404
25,7	2,288	0,366
25,8	2,322	0,345
25,9	2,339	0,345
26,0	2,328	0,359
26,1	2,297	0,389
26,2	2,246	0,434
26,3	2,183	0,485
26,4	2,120	0,536
26,5	2,055	0,581
26,6	2,009	0,608
26,7	1,980	0,621
26,8	1,974	0,612
26,9	1,988	0,587
27,0	2,025	0,548
27,1	2,076	0,497
27,2	2,138	0,446
27,3	2,204	0,396
27,4	2,258	0,360
27,5	2,300	0,338
27,6	2,321	0,329
27,7	2,322	0,344
27,8	2,297	0,381
27,9	2,256	0,429
28,0	2,205	0,482
28,1	2,147	0,540
28,2	2,088	0,587
28,3	2,034	0,621
28,4	2,001	0,635
28,5	1,988	0,629
28,6	1,991	0,606
28,7	2,022	0,561
28,8	2,066	0,507
28,9	2,121	0,447
29,0	2,178	0,392
29,1	2,234	0,350
29,2	2,280	0,320
29,3	2,303	0,312
29,4	2,312	0,326
29,5	2,295	0,362
29,6	2,262	0,414
29,7	2,217	0,471
29,8	2,162	0,530
29,9	2,102	0,587
30,0	2,055	0,629
