t / s	U_A1 / V	U_B1 / V
0,0	2,420	0,387
0,1	2,388	0,390
0,2	2,340	0,392
0,3	2,280	0,398
0,4	2,216	0,401
0,5	2,148	0,405
0,6	2,094	0,410
0,7	2,055	0,413
0,8	2,033	0,414
0,9	2,030	0,410
1,0	2,048	0,407
1,1	2,085	0,402
1,2	2,141	0,399
1,3	2,207	0,395
1,4	2,273	0,389
1,5	2,334	0,386
1,6	2,384	0,389
1,7	2,415	0,387
1,8	2,429	0,395
1,9	2,423	0,398
2,0	2,396	0,405
2,1	2,349	0,411
2,2	2,292	0,420
2,3	2,231	0,423
2,4	2,163	0,428
2,5	2,106	0,425
2,6	2,061	0,425
2,7	2,036	0,417
2,8	2,031	0,408
2,9	2,048	0,396
3,0	2,082	0,384
3,1	2,136	0,377
3,2	2,201	0,368
3,3	2,261	0,366
3,4	2,325	0,368
3,5	2,372	0,368
3,6	2,406	0,377
3,7	2,427	0,390
3,8	2,421	0,405
3,9	2,394	0,420
4,0	2,354	0,434
4,1	2,295	0,443
4,2	2,232	0,450
4,3	2,172	0,453
4,4	2,115	0,449
4,5	2,072	0,435
4,6	2,043	0,420
4,7	2,036	0,408
4,8	2,046	0,390
4,9	2,082	0,371
5,0	2,127	0,357
5,1	2,187	0,347
5,2	2,253	0,347
5,3	2,312	0,342
5,4	2,364	0,353
5,5	2,400	0,366
5,6	2,415	0,387
5,7	2,417	0,411
5,8	2,394	0,431
5,9	2,352	0,450
6,0	2,300	0,461
6,1	2,238	0,471
6,2	2,181	0,471
6,3	2,121	0,464
6,4	2,078	0,447
6,5	2,051	0,431
6,6	2,042	0,407
6,7	2,055	0,381
6,8	2,087	0,357
6,9	2,127	0,339
7,0	2,181	0,324
7,1	2,241	0,320
7,2	2,298	0,323
7,3	2,349	0,338
7,4	2,385	0,357
7,5	2,406	0,381
7,6	2,405	0,414
7,7	2,391	0,438
7,8	2,354	0,461
7,9	2,303	0,483
8,0	2,249	0,494
8,1	2,189	0,497
8,2	2,132	0,488
8,3	2,094	0,467
8,4	2,064	0,441
8,5	2,057	0,408
8,6	2,063	0,375
8,7	2,088	0,345
8,8	2,132	0,321
8,9	2,175	0,306
9,0	2,237	0,300
9,1	2,289	0,303
9,2	2,337	0,321
9,3	2,375	0,344
9,4	2,394	0,374
9,5	2,396	0,411
9,6	2,382	0,444
9,7	2,349	0,476
9,8	2,306	0,503
9,9	2,256	0,515
10,0	2,202	0,516
10,1	2,151	0,504
10,2	2,109	0,483
10,3	2,082	0,452
10,4	2,070	0,416
10,5	2,076	0,378
10,6	2,094	0,341
10,7	2,132	0,308
10,8	2,177	0,288
10,9	2,228	0,278
11,0	2,279	0,282
11,1	2,325	0,302
11,2	2,357	0,330
11,3	2,376	0,365
11,4	2,382	0,407
11,5	2,367	0,449
11,6	2,343	0,488
11,7	2,306	0,515
11,8	2,259	0,530
11,9	2,211	0,534
12,0	2,165	0,522
12,1	2,126	0,500
12,2	2,096	0,462
12,3	2,087	0,420
12,4	2,085	0,377
12,5	2,103	0,333
12,6	2,135	0,297
12,7	2,174	0,275
12,8	2,217	0,261
12,9	2,264	0,266
13,0	2,306	0,284
13,1	2,339	0,312
13,2	2,360	0,356
13,3	2,367	0,404
13,4	2,355	0,452
13,5	2,331	0,495
13,6	2,300	0,530
13,7	2,259	0,549
13,8	2,214	0,552
13,9	2,174	0,542
14,0	2,144	0,513
14,1	2,118	0,476
14,2	2,109	0,429
14,3	2,106	0,378
14,4	2,118	0,330
14,5	2,147	0,290
14,6	2,180	0,257
14,7	2,220	0,242
14,8	2,259	0,248
14,9	2,292	0,264
15,0	2,324	0,299
15,1	2,342	0,344
15,2	2,346	0,396
15,3	2,337	0,449
15,4	2,319	0,494
15,5	2,294	0,534
15,6	2,259	0,560
15,7	2,223	0,564
15,8	2,190	0,558
15,9	2,159	0,533
16,0	2,136	0,488
16,1	2,127	0,438
16,2	2,127	0,384
16,3	2,136	0,332
16,4	2,153	0,284
16,5	2,180	0,249
16,6	2,213	0,228
16,7	2,250	0,230
16,8	2,279	0,249
16,9	2,301	0,287
17,0	2,319	0,330
17,1	2,327	0,386
17,2	2,319	0,446
17,3	2,306	0,498
17,4	2,282	0,542
17,5	2,256	0,570
17,6	2,226	0,581
17,7	2,198	0,575
17,8	2,174	0,546
17,9	2,157	0,506
18,0	2,147	0,447
18,1	2,148	0,387
18,2	2,156	0,333
18,3	2,169	0,282
18,4	2,192	0,245
18,5	2,216	0,227
18,6	2,243	0,219
18,7	2,265	0,237
18,8	2,285	0,273
18,9	2,297	0,320
19,0	2,301	0,380
19,1	2,297	0,440
19,2	2,286	0,497
19,3	2,271	0,542
19,4	2,252	0,576
19,5	2,229	0,588
19,6	2,208	0,581
19,7	2,189	0,558
19,8	2,175	0,515
19,9	2,166	0,458
20,0	2,165	0,398
20,1	2,171	0,336
20,2	2,183	0,279
20,3	2,201	0,240
20,4	2,219	0,216
20,5	2,237	0,212
20,6	2,256	0,225
20,7	2,271	0,257
20,8	2,277	0,306
20,9	2,277	0,369
21,0	2,274	0,432
21,1	2,270	0,492
21,2	2,258	0,540
21,3	2,246	0,576
21,4	2,229	0,591
21,5	2,213	0,588
21,6	2,202	0,567
21,7	2,196	0,525
21,8	2,189	0,468
21,9	2,192	0,407
22,0	2,195	0,344
22,1	2,205	0,285
22,2	2,216	0,242
22,3	2,223	0,216
22,4	2,235	0,209
22,5	2,243	0,222
22,6	2,252	0,255
22,7	2,256	0,305
22,8	2,255	0,359
22,9	2,252	0,428
23,0	2,247	0,489
23,1	2,241	0,542
23,2	2,231	0,581
23,3	2,226	0,597
23,4	2,220	0,596
23,5	2,213	0,576
23,6	2,214	0,536
23,7	2,216	0,480
23,8	2,214	0,414
23,9	2,219	0,345
24,0	2,225	0,288
24,1	2,229	0,245
24,2	2,234	0,213
24,3	2,237	0,203
24,4	2,238	0,216
24,5	2,238	0,246
24,6	2,234	0,294
24,7	2,235	0,351
24,8	2,228	0,417
24,9	2,225	0,480
25,0	2,225	0,534
25,1	2,220	0,575
25,2	2,219	0,594
25,3	2,223	0,597
25,4	2,228	0,578
25,5	2,229	0,539
25,6	2,235	0,485
25,7	2,237	0,428
25,8	2,244	0,357
25,9	2,252	0,296
26,0	2,249	0,252
26,1	2,246	0,219
26,2	2,240	0,207
26,3	2,232	0,216
26,4	2,223	0,240
26,5	2,216	0,285
26,6	2,210	0,342
26,7	2,207	0,407
26,8	2,205	0,471
26,9	2,205	0,525
27,0	2,205	0,567
27,1	2,208	0,593
27,2	2,222	0,599
27,3	2,235	0,581
27,4	2,247	0,543
27,5	2,255	0,491
27,6	2,262	0,432
27,7	2,268	0,368
27,8	2,268	0,311
27,9	2,264	0,258
28,0	2,253	0,222
28,1	2,241	0,209
28,2	2,226	0,212
28,3	2,207	0,242
28,4	2,198	0,282
28,5	2,187	0,338
28,6	2,181	0,398
28,7	2,177	0,461
28,8	2,177	0,518
28,9	2,187	0,561
29,0	2,201	0,584
29,1	2,219	0,591
29,2	2,238	0,578
29,3	2,255	0,545
29,4	2,270	0,494
29,5	2,285	0,440
29,6	2,289	0,378
29,7	2,289	0,321
29,8	2,283	0,269
29,9	2,270	0,236
30,0	2,252	0,216
30,1	2,228	0,221
30,2	2,207	0,242
30,3	2,184	0,279
30,4	2,168	0,333
30,5	2,157	0,396
30,6	2,153	0,455
30,7	2,160	0,504
30,8	2,171	0,548
30,9	2,192	0,573
31,0	2,216	0,581
31,1	2,244	0,572
31,2	2,268	0,542
31,3	2,291	0,498
31,4	2,306	0,446
31,5	2,313	0,386
31,6	2,310	0,330
31,7	2,301	0,281
31,8	2,283	0,243
31,9	2,258	0,228
32,0	2,228	0,227
32,1	2,199	0,246
32,2	2,174	0,281
32,3	2,153	0,330
32,4	2,136	0,387
32,5	2,135	0,440
32,6	2,142	0,495
32,7	2,159	0,534
32,8	2,184	0,564
32,9	2,211	0,569
33,0	2,243	0,563
33,1	2,276	0,537
33,2	2,306	0,500
33,3	2,325	0,449
33,4	2,336	0,395
33,5	2,331	0,338
33,6	2,321	0,293
33,7	2,298	0,260
33,8	2,264	0,240
33,9	2,229	0,239
34,0	2,195	0,254
34,1	2,165	0,285
34,2	2,138	0,330
34,3	2,118	0,380
34,4	2,115	0,431
34,5	2,123	0,482
34,6	2,136	0,522
34,7	2,165	0,543
34,8	2,202	0,558
34,9	2,240	0,552
35,0	2,279	0,530
35,1	2,313	0,494
35,2	2,337	0,450
35,3	2,351	0,402
35,4	2,354	0,353
35,5	2,340	0,305
35,6	2,315	0,276
35,7	2,279	0,257
35,8	2,238	0,252
35,9	2,195	0,263
36,0	2,157	0,290
36,1	2,123	0,333
36,2	2,099	0,375
36,3	2,088	0,422
36,4	2,099	0,468
36,5	2,123	0,509
36,6	2,157	0,528
36,7	2,199	0,539
36,8	2,240	0,540
36,9	2,286	0,519
37,0	2,324	0,488
37,1	2,352	0,450
37,2	2,372	0,407
37,3	2,373	0,363
37,4	2,358	0,323
37,5	2,331	0,290
37,6	2,292	0,272
37,7	2,249	0,266
37,8	2,195	0,279
37,9	2,154	0,300
38,0	2,112	0,332
38,1	2,085	0,369
38,2	2,076	0,416
38,3	2,084	0,455
38,4	2,102	0,491
38,5	2,136	0,509
38,6	2,181	0,524
38,7	2,237	0,521
38,8	2,286	0,509
38,9	2,331	0,480
39,0	2,364	0,446
39,1	2,384	0,408
39,2	2,384	0,374
39,3	2,376	0,339
39,4	2,345	0,306
39,5	2,301	0,293
39,6	2,252	0,290
39,7	2,201	0,294
39,8	2,147	0,311
39,9	2,103	0,342
40,0	2,078	0,380
40,1	2,064	0,410
40,2	2,069	0,444
40,3	2,088	0,473
40,4	2,126	0,492
40,5	2,172	0,501
40,6	2,225	0,498
40,7	2,279	0,489
40,8	2,330	0,468
40,9	2,370	0,440
41,0	2,397	0,411
41,1	2,402	0,383
41,2	2,393	0,356
41,3	2,361	0,332
41,4	2,315	0,314
41,5	2,262	0,309
41,6	2,205	0,315
41,7	2,148	0,327
41,8	2,102	0,351
41,9	2,072	0,378
42,0	2,052	0,405
42,1	2,054	0,434
42,2	2,075	0,455
42,3	2,112	0,471
42,4	2,159	0,482
42,5	2,220	0,482
42,6	2,276	0,473
42,7	2,336	0,455
42,8	2,375	0,435
42,9	2,403	0,411
43,0	2,406	0,386
43,1	2,399	0,365
43,2	2,372	0,347
43,3	2,330	0,338
43,4	2,274	0,335
43,5	2,210	0,333
43,6	2,153	0,348
43,7	2,102	0,360
43,8	2,064	0,386
43,9	2,042	0,404
44,0	2,040	0,426
44,1	2,060	0,441
44,2	2,099	0,452
44,3	2,148	0,462
44,4	2,210	0,461
44,5	2,271	0,452
44,6	2,331	0,441
44,7	2,378	0,426
44,8	2,408	0,408
44,9	2,421	0,392
45,0	2,411	0,374
45,1	2,387	0,365
45,2	2,342	0,359
45,3	2,283	0,356
45,4	2,219	0,359
45,5	2,159	0,366
45,6	2,106	0,377
45,7	2,066	0,390
45,8	2,042	0,405
45,9	2,037	0,414
46,0	2,054	0,425
46,1	2,090	0,432
46,2	2,142	0,435
46,3	2,201	0,432
46,4	2,265	0,431
46,5	2,325	0,422
46,6	2,375	0,411
46,7	2,411	0,399
46,8	2,429	0,393
46,9	2,421	0,387
47,0	2,394	0,380
47,1	2,351	0,380
47,2	2,294	0,378
47,3	2,229	0,383
47,4	2,166	0,389
47,5	2,108	0,393
47,6	2,063	0,402
47,7	2,037	0,413
47,8	2,033	0,413
47,9	2,048	0,417
48,0	2,081	0,417
48,1	2,130	0,414
48,2	2,193	0,414
48,3	2,255	0,408
48,4	2,319	0,404
48,5	2,370	0,398
48,6	2,406	0,399
