t / s	&j / arb.u.
0,03	-0,61
0,08	-0,65
0,13	-0,61
0,18	-0,66
0,23	-0,62
0,28	-0,66
0,33	-0,61
0,38	-0,65
0,43	-0,62
0,48	-0,66
0,53	-0,61
0,58	-0,64
0,63	-0,62
0,68	-0,64
0,73	-0,61
0,78	-0,65
0,83	-0,62
0,88	-0,65
0,93	-0,61
0,98	-0,64
1,03	-0,61
1,08	-0,65
1,13	-0,61
1,18	-0,65
1,23	-0,63
1,28	-0,65
1,33	-0,61
1,38	-0,65
1,43	-0,61
1,48	-0,50
1,53	-0,33
1,58	-0,35
1,63	-0,43
1,68	-1,12
1,73	-2,36
1,78	-4,09
1,83	-5,92
1,88	-8,08
1,93	-10,46
1,98	-13,13
2,03	-15,86
2,08	-18,83
2,13	-21,79
2,18	-25,25
2,23	-29,19
2,28	-33,92
2,33	-38,92
2,38	-43,59
2,43	-47,66
2,48	-51,29
2,53	-53,64
2,58	-54,80
2,63	-55,38
2,68	-56,69
2,73	-58,56
2,78	-60,78
2,83	-62,58
2,88	-64,20
2,93	-65,48
2,98	-66,75
3,03	-67,85
3,08	-68,71
3,13	-69,20
3,18	-69,92
3,23	-70,84
3,28	-72,25
3,33	-73,61
3,38	-74,85
3,43	-75,82
3,48	-76,59
3,53	-76,71
3,58	-76,74
3,63	-76,71
3,68	-76,74
3,73	-76,71
3,78	-76,75
3,83	-76,72
3,88	-76,74
3,93	-76,71
3,98	-76,73
4,03	-76,71
4,08	-76,74
4,13	-76,72
4,18	-76,74
4,23	-76,71
4,28	-76,74
4,33	-76,71
4,38	-76,74
4,43	-76,71
4,48	-76,74
4,53	-76,71
4,58	-76,74
4,63	-76,77
4,68	-76,89
4,73	-76,98
4,78	-77,02
4,83	-76,98
4,88	-77,03
4,93	-76,99
4,98	-77,02
5,03	-76,99
5,08	-77,02
5,13	-77,00
5,18	-77,02
5,23	-76,99
5,28	-77,02
5,33	-76,99
5,38	-77,02
5,43	-76,99
5,48	-77,02
5,53	-76,99
5,58	-77,02
5,63	-76,99
5,68	-77,02
5,73	-76,99
5,78	-77,01
5,83	-76,99
5,88	-77,02
5,93	-76,99
5,98	-77,01
6,03	-77,00
6,08	-77,01
6,13	-77,00
6,18	-77,01
6,23	-77,00
6,28	-77,02
6,33	-76,99
6,38	-77,01
6,43	-76,99
6,48	-77,02
6,53	-77,00
6,58	-77,01
6,63	-76,99
6,68	-77,01
6,73	-77,00
6,78	-77,01
6,83	-76,99
6,88	-77,02
6,93	-77,00
6,98	-77,01
7,03	-76,98
7,08	-76,15
7,13	-73,43
7,18	-68,91
7,23	-62,75
7,28	-55,02
7,33	-45,88
7,38	-35,62
7,43	-24,48
7,48	-13,02
7,53	-1,37
7,58	10,12
7,63	21,19
7,68	31,52
7,73	41,09
7,78	49,49
7,83	56,71
7,88	62,48
7,93	66,67
7,98	69,11
8,03	69,89
8,08	68,91
8,13	66,11
8,18	61,65
8,23	55,75
8,28	48,54
8,33	40,30
8,38	31,13
8,43	21,38
8,48	11,10
8,53	0,55
8,58	-9,99
8,63	-20,30
8,68	-30,10
8,73	-39,13
8,78	-46,97
8,83	-53,53
8,88	-58,58
8,93	-62,11
8,98	-63,96
9,03	-64,28
9,08	-62,86
9,13	-59,76
9,18	-55,11
9,23	-49,14
9,28	-41,88
9,33	-33,62
9,38	-24,52
9,43	-15,11
9,48	-5,35
9,53	4,30
9,58	13,77
9,63	22,70
9,68	30,95
9,73	38,45
9,78	44,95
9,83	50,25
9,88	54,36
9,93	57,12
9,98	58,47
10,03	58,44
10,08	56,94
10,13	53,91
10,18	49,73
10,23	44,35
10,28	38,02
10,33	30,72
10,38	22,94
10,43	14,54
10,48	5,86
10,53	-2,98
10,58	-11,74
10,63	-20,20
10,68	-28,11
10,73	-35,38
10,78	-41,59
10,83	-46,69
10,88	-50,55
10,93	-53,06
10,98	-54,15
11,03	-54,06
11,08	-52,43
11,13	-49,50
11,18	-45,22
11,23	-39,92
11,28	-33,59
11,33	-26,49
11,38	-18,85
11,43	-10,94
11,48	-2,76
11,53	5,24
11,58	13,10
11,63	20,44
11,68	27,24
11,73	33,27
11,78	38,56
11,83	42,78
11,88	45,98
11,93	48,01
