t / s	&j / arb.u.
0,03	-0,50
0,08	-0,52
0,13	-0,50
0,18	-0,52
0,23	-0,50
0,28	-0,51
0,33	-0,51
0,38	-0,50
0,43	-0,50
0,48	-0,51
0,53	-0,50
0,58	-0,51
0,63	-0,50
0,68	-0,51
0,73	-0,50
0,78	-0,51
0,83	-0,50
0,88	-0,51
0,93	-0,51
0,98	-0,50
1,03	-0,86
1,08	-3,54
1,13	-8,54
1,18	-14,18
1,23	-20,03
1,28	-26,67
1,33	-32,97
1,38	-38,95
1,43	-44,74
1,48	-49,98
1,53	-54,43
1,58	-58,05
1,63	-61,37
1,68	-64,52
1,73	-67,28
1,78	-69,06
1,83	-70,30
1,88	-71,44
1,93	-72,57
1,98	-73,74
2,03	-74,76
2,08	-75,22
2,13	-75,33
2,18	-75,43
2,23	-75,90
2,28	-76,37
2,33	-76,66
2,38	-76,67
2,43	-76,69
2,48	-76,72
2,53	-76,77
2,58	-76,88
2,63	-77,01
2,68	-76,99
2,73	-77,02
2,78	-76,98
2,83	-77,02
2,88	-76,99
2,93	-76,56
2,98	-74,24
3,03	-70,40
3,08	-65,36
3,13	-59,35
3,18	-52,52
3,23	-45,26
3,28	-37,75
3,33	-30,28
3,38	-22,93
3,43	-16,09
3,48	-9,58
3,53	-3,72
3,58	1,51
3,63	5,96
3,68	9,84
3,73	12,88
3,78	15,38
3,83	17,17
3,88	18,43
3,93	19,05
3,98	19,21
4,03	19,07
4,08	18,45
4,13	17,38
4,18	16,11
4,23	14,56
4,28	12,91
4,33	11,16
4,38	9,39
4,43	7,50
4,48	5,72
4,53	3,96
4,58	2,46
4,63	0,98
4,68	-0,30
4,73	-1,47
4,78	-2,41
4,83	-3,27
4,88	-3,88
4,93	-4,38
4,98	-4,65
5,03	-4,86
5,08	-4,88
5,13	-4,92
5,18	-4,87
5,23	-4,77
5,28	-4,49
5,33	-4,23
5,38	-3,83
5,43	-3,49
5,48	-3,07
5,53	-2,72
5,58	-2,28
5,63	-1,96
5,68	-1,57
5,73	-1,28
5,78	-0,94
5,83	-0,73
5,88	-0,46
5,93	-0,32
5,98	-0,11
6,03	-0,03
6,08	0,10
6,13	0,12
6,18	0,18
6,23	0,14
6,28	0,18
6,33	0,15
6,38	0,18
6,43	0,14
6,48	0,17
6,53	0,06
6,58	0,03
6,63	-0,08
6,68	-0,10
6,73	-0,21
6,78	-0,24
6,83	-0,34
6,88	-0,35
6,93	-0,44
6,98	-0,43
7,03	-0,52
7,08	-0,51
7,13	-0,58
7,18	-0,55
7,23	-0,58
7,28	-0,60
7,33	-0,64
7,38	-0,60
7,43	-0,64
7,48	-0,61
7,53	-0,64
7,58	-0,61
7,63	-0,63
7,68	-0,60
7,73	-0,64
7,78	-0,60
7,83	-0,64
7,88	-0,61
7,93	-0,63
7,98	-0,60
8,03	-0,64
8,08	-0,60
8,13	-0,64
8,18	-0,60
8,23	-0,64
8,28	-0,61
8,33	-0,64
8,38	-0,60
8,43	-0,64
8,48	-0,59
8,53	-0,64
8,58	-0,60
8,63	-0,64
8,68	-0,60
8,73	-0,64
8,78	-0,60
8,83	-0,64
8,88	-0,61
8,93	-0,64
8,98	-0,60
9,03	-0,63
9,08	-0,60
9,13	-0,64
9,18	-0,61
9,23	-0,64
9,28	-0,61
9,33	-0,63
9,38	-0,61
9,43	-0,64
9,48	-0,61
9,53	-0,64
9,58	-0,60
9,63	-0,64
9,68	-0,60
9,73	-0,64
9,78	-0,60
9,83	-0,64
9,88	-0,61
9,93	-0,64
9,98	-0,60
