t / s	&j / arb.u.
0,03	-0,58
0,08	-0,55
0,13	-0,58
0,18	-0,55
0,23	-0,58
0,28	-0,55
0,33	-0,58
0,38	-0,55
0,43	-0,58
0,48	-0,56
0,53	-0,58
0,58	-0,55
0,63	-0,58
0,68	-0,55
0,73	-0,59
0,78	-0,55
0,83	-0,58
0,88	-0,54
0,93	-0,58
0,98	-0,55
1,03	-0,58
1,08	-0,59
1,13	-1,45
1,18	-2,67
1,23	-4,52
1,28	-7,23
1,33	-10,81
1,38	-14,81
1,43	-19,44
1,48	-23,85
1,53	-28,43
1,58	-32,86
1,63	-37,25
1,68	-41,50
1,73	-45,97
1,78	-50,43
1,83	-54,27
1,88	-57,16
1,93	-59,64
1,98	-61,72
2,03	-63,35
2,08	-64,36
2,13	-65,07
2,18	-65,60
2,23	-66,38
2,28	-67,56
2,33	-68,98
2,38	-70,44
2,43	-71,64
2,48	-72,26
2,53	-72,72
2,58	-72,97
2,63	-73,09
2,68	-73,48
2,73	-74,29
2,78	-74,95
2,83	-75,36
2,88	-75,76
2,93	-76,07
2,98	-76,27
3,03	-76,41
3,08	-76,46
3,13	-76,47
3,18	-76,48
3,23	-76,56
3,28	-76,56
3,33	-76,56
3,38	-76,56
3,43	-76,56
3,48	-76,55
3,53	-76,59
3,58	-76,62
3,63	-76,63
3,68	-76,72
3,73	-76,86
3,78	-76,89
3,83	-76,89
3,88	-76,88
3,93	-76,88
3,98	-76,88
4,03	-76,88
4,08	-76,88
4,13	-76,88
4,18	-76,93
4,23	-76,06
4,28	-73,17
4,33	-68,55
4,38	-62,36
4,43	-54,68
4,48	-45,76
4,53	-35,77
4,58	-25,12
4,63	-14,21
4,68	-3,25
4,73	7,50
4,78	17,73
4,83	27,25
4,88	35,87
4,93	43,49
4,98	49,81
5,03	54,89
5,08	58,53
5,13	60,63
5,18	61,24
5,23	60,46
5,28	58,09
5,33	54,31
5,38	49,31
5,43	43,34
5,48	36,41
5,53	28,81
5,58	20,74
5,63	12,32
5,68	3,65
5,73	-4,86
5,78	-13,26
5,83	-21,08
5,88	-28,34
5,93	-34,78
5,98	-40,19
6,03	-44,40
6,08	-47,42
6,13	-49,14
6,18	-49,68
6,23	-48,96
6,28	-46,92
6,33	-43,74
6,38	-39,55
6,43	-34,43
6,48	-28,59
6,53	-22,18
6,58	-15,50
6,63	-8,54
6,68	-1,63
6,73	5,17
6,78	11,64
6,83	17,69
6,88	23,06
6,93	27,81
6,98	31,75
7,03	34,94
7,08	37,16
7,13	38,54
7,18	38,92
7,23	38,53
7,28	37,02
7,33	34,79
7,38	31,73
7,43	28,08
7,48	23,85
7,53	19,17
7,58	14,05
7,63	8,78
7,68	3,27
7,73	-2,08
7,78	-7,35
7,83	-12,38
7,88	-17,04
7,93	-21,11
7,98	-24,67
8,03	-27,54
8,08	-29,72
8,13	-31,08
8,18	-31,70
8,23	-31,59
8,28	-30,67
8,33	-28,91
8,38	-26,55
8,43	-23,54
8,48	-20,19
8,53	-16,30
8,58	-12,23
8,63	-7,84
8,68	-3,53
8,73	0,83
8,78	4,94
8,83	8,99
8,88	12,56
8,93	15,82
8,98	18,55
9,03	20,83
9,08	22,53
9,13	23,71
9,18	24,24
9,23	24,36
9,28	23,82
9,33	22,74
9,38	21,07
9,43	19,05
9,48	16,54
9,53	13,76
9,58	10,68
9,63	7,44
9,68	3,98
9,73	0,64
9,78	-2,75
9,83	-5,92
9,88	-9,03
9,93	-11,81
9,98	-14,26
10,03	-16,30
10,08	-17,98
10,13	-19,12
10,18	-19,88
10,23	-20,07
10,28	-19,99
10,33	-19,24
10,38	-18,09
10,43	-16,48
10,48	-14,60
10,53	-12,40
10,58	-10,01
10,63	-7,33
10,68	-4,71
10,73	-2,00
10,78	0,65
10,83	3,22
10,88	5,59
10,93	7,88
10,98	9,82
11,03	11,50
11,08	12,79
11,13	13,82
11,18	14,45
11,23	14,77
11,28	14,77
11,33	14,47
11,38	13,66
11,43	12,62
11,48	11,28
11,53	9,74
11,58	7,90
11,63	5,95
11,68	3,85
11,73	1,83
11,78	-0,31
11,83	-2,36
11,88	-4,33
11,93	-6,10
11,98	-7,81
12,03	-9,26
12,08	-10,54
12,13	-11,46
12,18	-12,16
12,23	-12,49
12,28	-12,62
12,33	-12,53
12,38	-12,10
12,43	-11,29
12,48	-10,32
12,53	-9,09
12,58	-7,71
12,63	-6,17
12,68	-4,65
12,73	-3,02
12,78	-1,40
12,83	0,24
12,88	1,81
12,93	3,24
12,98	4,52
13,03	5,75
13,08	6,74
13,13	7,57
13,18	8,17
13,23	8,55
13,28	8,68
13,33	8,69
13,38	8,52
13,43	8,05
13,48	7,35
13,53	6,52
13,58	5,50
13,63	4,39
13,68	3,25
13,73	2,05
13,78	0,79
13,83	-0,48
13,88	-1,71
13,93	-2,88
13,98	-3,97
14,03	-4,89
14,08	-5,73
14,13	-6,45
14,18	-6,99
14,23	-7,38
14,28	-7,57
14,33	-7,66
14,38	-7,63
14,43	-7,38
14,48	-6,90
14,53	-6,33
14,58	-5,61
14,63	-4,83
14,68	-4,00
14,73	-3,10
14,78	-2,12
14,83	-1,16
14,88	-0,19
14,93	0,72
14,98	1,60
15,03	2,37
15,08	3,06
15,13	3,57
15,18	4,06
15,23	4,39
15,28	4,63
15,33	4,70
15,38	4,72
15,43	4,67
15,48	4,41
15,53	3,99
15,58	3,55
15,63	3,00
15,68	2,43
15,73	1,70
15,78	1,03
15,83	0,25
15,88	-0,43
15,93	-1,18
15,98	-1,82
16,03	-2,48
16,08	-3,00
16,13	-3,52
16,18	-3,89
16,23	-4,23
16,28	-4,40
16,33	-4,54
16,38	-4,52
16,43	-4,56
16,48	-4,47
16,53	-4,26
16,58	-3,91
16,63	-3,55
16,68	-3,06
16,73	-2,61
16,78	-2,04
16,83	-1,54
16,88	-0,95
16,93	-0,46
16,98	0,09
17,03	0,54
17,08	1,04
17,13	1,38
17,18	1,75
17,23	1,98
17,28	2,21
17,33	2,30
17,38	2,38
17,43	2,35
17,48	2,38
17,53	2,26
17,58	2,07
17,63	1,76
17,68	1,49
17,73	1,10
17,78	0,76
17,83	0,33
17,88	-0,04
17,93	-0,47
17,98	-0,82
18,03	-1,22
18,08	-1,53
18,13	-1,88
18,18	-2,10
18,23	-2,37
18,28	-2,49
18,33	-2,64
18,38	-2,65
18,43	-2,70
18,48	-2,66
18,53	-2,69
18,58	-2,60
18,63	-2,45
18,68	-2,20
18,73	-1,99
18,78	-1,70
18,83	-1,45
18,88	-1,12
18,93	-0,87
18,98	-0,56
19,03	-0,31
19,08	-0,02
19,13	0,17
19,18	0,40
19,23	0,53
19,28	0,72
19,33	0,77
19,38	0,86
19,43	0,88
19,48	0,93
19,53	0,88
19,58	0,89
19,63	0,77
19,68	0,67
19,73	0,45
19,78	0,30
19,83	0,08
19,88	-0,07
19,93	-0,30
19,98	-0,47
20,03	-0,70
20,08	-0,84
20,13	-1,06
20,18	-1,17
20,23	-1,33
20,28	-1,39
20,33	-1,51
20,38	-1,53
20,43	-1,61
20,48	-1,58
20,53	-1,62
20,58	-1,58
20,63	-1,61
20,68	-1,50
20,73	-1,41
20,78	-1,27
20,83	-1,17
20,88	-1,00
20,93	-0,90
20,98	-0,73
21,03	-0,64
21,08	-0,48
21,13	-0,40
21,18	-0,28
21,23	-0,20
21,28	-0,10
21,33	-0,09
