t / s	&j / arb.u.
0,03	-0,70
0,08	-0,65
0,13	-0,70
0,18	-0,67
0,23	-0,71
0,28	-0,67
0,33	-0,70
0,38	-0,66
0,43	-0,72
0,48	-0,67
0,53	-0,72
0,58	-0,67
0,63	-0,70
0,68	-0,67
0,73	-0,71
0,78	-0,67
0,83	-0,72
0,88	-0,67
0,93	-0,71
0,98	-0,67
1,03	-0,70
1,08	-0,67
1,13	-0,70
1,18	-0,67
1,23	-0,70
1,28	-0,67
1,33	-0,71
1,38	-0,67
1,43	-0,70
1,48	-0,66
1,53	-0,71
1,58	-0,67
1,63	-0,72
1,68	-0,68
1,73	-0,71
1,78	-0,66
1,83	-0,71
1,88	-0,67
1,93	-0,70
1,98	-0,67
2,03	-0,71
2,08	-0,67
2,13	-0,72
2,18	-0,67
2,23	-0,71
2,28	-0,66
2,33	-0,71
2,38	-0,67
2,43	-0,70
2,48	-0,67
2,53	-0,70
2,58	-0,67
2,63	-0,71
2,68	-0,67
2,73	-0,71
2,78	-0,67
2,83	-0,71
2,88	-0,68
2,93	-0,71
2,98	-0,66
3,03	-0,71
3,08	-0,67
3,13	-0,70
3,18	-0,67
3,23	-0,72
3,28	-0,67
3,33	-0,71
3,38	-0,67
3,43	-0,71
3,48	-0,66
3,53	-0,70
3,58	-0,66
3,63	-0,71
3,68	-0,68
3,73	-0,71
3,78	-0,69
3,83	-0,70
3,88	-0,66
3,93	-0,71
3,98	-0,67
4,03	-0,70
4,08	-0,67
4,13	-0,71
4,18	-0,67
4,23	-0,71
4,28	-0,67
4,33	-0,70
4,38	-0,66
4,43	-0,71
4,48	-0,66
4,53	-0,71
4,58	-0,67
4,63	-0,71
4,68	-0,67
4,73	-0,71
4,78	-0,67
4,83	-0,69
4,88	-0,67
4,93	-0,71
4,98	-0,66
5,03	-0,71
5,08	-0,66
5,13	-0,71
5,18	-0,67
5,23	-0,70
5,28	-0,67
5,33	-0,71
5,38	-0,67
5,43	-0,71
5,48	-0,68
5,53	-0,69
5,58	-0,67
5,63	-0,71
5,68	-0,67
5,73	-0,70
5,78	-0,68
5,83	-0,70
5,88	-0,67
5,93	-0,70
5,98	-0,67
6,03	-0,72
6,08	-0,66
6,13	-0,71
6,18	-0,67
6,23	-0,70
6,28	-0,66
6,33	-0,69
6,38	-0,67
6,43	-0,71
6,48	-0,67
6,53	-0,71
