t / s	&j / arb.u.
0,03	-76,94
0,08	-76,98
0,13	-76,93
0,18	-76,98
0,23	-76,94
0,28	-76,96
0,33	-76,94
0,38	-76,97
0,43	-76,93
0,48	-76,97
0,53	-76,94
0,58	-76,98
0,63	-76,94
0,68	-76,97
0,73	-76,94
0,78	-76,98
0,83	-76,94
0,88	-76,97
0,93	-76,94
0,98	-76,96
1,03	-76,94
1,08	-76,97
1,13	-76,94
1,18	-76,96
1,23	-76,93
1,28	-76,97
1,33	-76,94
1,38	-76,97
1,43	-76,94
1,48	-76,97
1,53	-76,94
1,58	-76,97
1,63	-76,94
1,68	-76,96
1,73	-76,93
1,78	-76,97
1,83	-76,93
1,88	-76,97
1,93	-76,93
1,98	-76,98
2,03	-76,94
2,08	-76,96
2,13	-76,94
2,18	-76,97
2,23	-76,93
2,28	-76,98
2,33	-76,93
2,38	-76,97
2,43	-76,94
2,48	-76,98
2,53	-76,94
2,58	-76,96
2,63	-76,94
2,68	-76,97
2,73	-76,93
2,78	-76,97
2,83	-76,94
2,88	-76,98
2,93	-76,93
2,98	-76,97
3,03	-76,93
3,08	-76,98
3,13	-76,94
3,18	-76,97
3,23	-76,95
3,28	-76,97
3,33	-76,95
3,38	-76,97
3,43	-76,93
3,48	-76,96
3,53	-76,94
3,58	-76,97
3,63	-76,94
3,68	-76,97
3,73	-76,94
3,78	-76,97
3,83	-76,94
3,88	-76,97
3,93	-76,93
3,98	-76,97
4,03	-76,94
4,08	-76,97
4,13	-76,93
4,18	-76,97
4,23	-76,94
4,28	-76,97
4,33	-76,93
4,38	-76,98
4,43	-76,93
4,48	-76,97
4,53	-76,94
4,58	-76,98
4,63	-76,95
4,68	-76,96
4,73	-76,94
4,78	-76,97
4,83	-76,93
4,88	-76,98
4,93	-76,93
4,98	-76,96
5,03	-76,95
5,08	-76,97
5,13	-76,93
5,18	-76,98
5,23	-76,94
5,28	-76,96
5,33	-76,94
5,38	-76,97
5,43	-76,94
5,48	-76,96
5,53	-76,94
5,58	-76,98
5,63	-76,95
5,68	-76,98
5,73	-76,94
5,78	-76,96
5,83	-76,93
5,88	-76,96
5,93	-76,94
5,98	-76,96
6,03	-76,93
6,08	-76,97
6,13	-76,94
6,18	-76,97
6,23	-76,94
6,28	-76,96
6,33	-76,95
6,38	-76,96
6,43	-76,95
6,48	-76,96
6,53	-76,95
6,58	-76,95
6,63	-76,94
6,68	-76,96
6,73	-76,95
6,78	-76,96
6,83	-76,96
6,88	-76,96
6,93	-76,94
6,98	-76,97
7,03	-76,94
7,08	-76,96
7,13	-76,94
7,18	-76,96
7,23	-76,95
7,28	-76,95
7,33	-76,95
7,38	-76,96
7,43	-76,96
7,48	-76,96
7,53	-76,95
7,58	-76,96
7,63	-76,96
7,68	-76,96
7,73	-76,95
7,78	-76,96
