t / s	s_A1 / m
0,006	0,1339
0,046	0,1339
0,086	0,1339
0,126	0,1339
0,166	0,1339
0,206	0,1339
0,246	0,1339
0,286	0,1339
0,326	0,1339
0,366	0,1296
0,406	0,1773
0,446	0,1477
0,486	0,1413
0,526	0,1522
0,566	0,1102
0,606	0,1499
0,646	0,1761
0,686	0,1455
0,806	0,2091
0,846	0,1139
0,885	0,2120
0,926	0,1319
0,966	0,1482
1,006	0,1701
1,046	0,1804
1,086	0,2092
1,126	0,2217
1,166	0,2525
1,206	0,2749
1,326	0,3521
1,366	0,3777
1,406	0,3993
1,446	0,4312
1,486	0,4589
1,526	0,4664
1,566	0,5090
1,606	0,5430
1,646	0,5693
1,686	0,6143
1,726	0,6469
1,766	0,6716
1,806	0,7103
1,846	0,7452
1,885	0,7799
1,926	0,8415
1,966	0,8704
2,006	0,8801
2,046	0,9375
2,086	0,9825
2,126	1,0077
2,166	1,0135
2,206	1,0068
2,246	1,0046
2,286	0,9994
2,326	0,9977
2,366	0,9981
2,406	0,9993
2,446	1,0002
2,486	1,0003
2,526	1,0003
2,566	1,0004
2,606	1,0003
2,646	1,0003
2,686	1,0003
2,726	1,0003
2,766	1,0003
2,806	1,0003
2,846	1,0003
2,886	1,0003
2,926	1,0003
2,966	1,0003
3,006	1,0003
3,046	1,0003
3,086	1,0003
3,126	1,0003
3,166	1,0003
3,206	1,0003
3,246	1,0003
3,286	1,0003
