t / s	s_A1 / m
0,015	0,1323
0,055	0,1323
0,095	0,1323
0,135	0,1323
0,175	0,1323
0,214	0,1323
0,254	0,1323
0,294	0,1323
0,334	0,1323
0,374	0,1323
0,414	0,1323
0,454	0,1323
0,494	0,1324
0,534	0,1139
0,574	0,1161
0,614	0,1105
0,654	0,1102
0,694	0,1257
0,734	0,1487
0,774	0,1422
0,814	0,1543
0,854	0,1631
0,894	0,1773
0,935	0,1880
0,975	0,1999
1,015	0,2171
1,055	0,2264
1,095	0,2370
1,135	0,2573
1,175	0,2699
1,214	0,2920
1,254	0,3151
1,294	0,3566
1,334	0,4167
1,374	0,3885
1,414	0,4070
1,454	0,4269
1,494	0,4522
1,534	0,4829
1,574	0,5715
1,614	0,5291
1,654	0,5687
1,694	0,5958
1,734	0,6333
1,774	0,6805
1,814	0,7067
1,854	0,7257
1,894	0,7850
1,935	0,8149
1,975	0,8639
2,015	0,8997
2,055	0,9370
2,095	0,9714
2,135	1,0065
2,174	1,0591
2,214	1,0051
2,254	0,9874
2,294	0,9750
2,334	0,9729
2,374	0,9694
2,414	0,9716
2,454	0,9752
2,494	0,9836
2,534	0,9961
2,574	1,0032
2,614	0,9990
2,654	0,9991
2,694	1,0034
2,734	1,0034
2,774	0,9991
2,814	1,0034
2,854	1,0034
2,894	1,0035
2,935	1,0077
2,975	0,9991
3,015	0,7992
3,055	0,8420
3,095	0,8797
