t / s	s_A1 / m
0,037583	0,1233
0,077607	0,1233
0,117647	0,1233
0,157687	0,1233
0,197727	0,1233
0,237767	0,1233
0,276807	0,1236
0,316847	0,1154
0,436965	0,1146
0,557085	0,1112
0,597126	0,1107
0,637165	0,1109
0,677206	0,1105
0,717246	0,1323
0,757285	0,1257
0,797326	0,1368
0,837365	0,1347
0,877406	0,1372
0,917446	0,1482
0,957485	0,1378
0,997541	0,1488
1,037582	0,1426
1,077621	0,1537
1,117646	0,1517
1,157685	0,1543
1,197726	0,1610
1,237766	0,1549
1,276806	0,1662
1,316846	0,1644
1,356886	0,1671
1,396925	0,1739
1,436965	0,1679
1,477005	0,1705
1,517045	0,1732
1,557085	0,1673
1,597125	0,1741
1,637165	0,1724
1,677205	0,1708
1,717245	0,1777
1,757285	0,1717
1,797325	0,1913
1,837365	0,1809
1,877405	0,1811
1,917445	0,1857
1,957485	0,2313
2,117660	0,4212
2,157685	0,4396
2,197725	0,4741
2,237765	0,4349
2,276805	0,2287
2,316845	0,2310
2,356885	0,2246
2,396924	0,2314
2,436963	0,2295
2,477004	0,2321
2,517044	0,2347
2,557083	0,2331
2,597124	0,2317
2,717244	0,3013
2,757283	0,3108
2,797324	0,3183
2,837364	0,3172
2,877403	0,3162
2,917444	0,2931
2,957483	0,2615
2,997524	0,2692
3,037564	0,2684
3,077619	0,2719
3,197724	0,3947
3,237764	0,4022
3,276804	0,4689
3,316844	0,2980
3,356884	0,3079
3,396924	0,3200
3,436963	0,3235
3,477003	0,3270
3,517043	0,3305
3,557083	0,3341
3,597123	0,3378
3,637163	0,3416
3,677203	0,3455
3,717243	0,3495
3,757283	0,3535
3,797323	0,3576
3,837363	0,3617
3,877403	0,3656
3,917443	0,3695
3,957483	0,3734
3,997523	0,3945
4,037563	0,3988
4,077603	0,4031
4,117659	0,4075
4,157699	0,4077
4,197727	0,4122
4,237763	0,4169
4,276803	0,4216
4,316843	0,4264
4,356883	0,4312
4,396922	0,4188
4,436961	0,4239
4,477002	0,4292
4,517042	0,4347
4,557081	0,4405
4,597122	0,4466
4,637180	0,4528
4,677202	0,4635
4,717242	0,4701
4,757281	0,4811
4,797322	0,4836
4,837361	0,4821
4,877402	0,4683
4,917442	0,4845
5,037562	0,5287
5,077601	0,5319
5,117642	0,5396
5,157686	0,5473
5,197737	0,5549
5,237794	0,5582
5,276802	0,5611
5,316842	0,5643
5,356882	0,5719
5,396921	0,5796
5,436961	0,5871
5,477001	0,5945
5,517041	0,6062
5,557081	0,6222
5,597121	0,6336
5,637161	0,6451
5,677201	0,6564
5,717241	0,6589
5,757281	0,6656
5,797321	0,6720
5,837361	0,6781
5,877401	0,6797
5,917441	0,6855
5,957481	0,6868
5,997521	0,6880
6,037561	0,6933
6,077601	0,6941
6,117641	0,6990
6,157681	0,7037
6,197736	0,7082
6,237777	0,7125
6,276801	0,7167
6,316841	0,7208
6,356881	0,7292
6,396920	0,7330
6,436959	0,7411
6,477000	0,7447
6,517040	0,7483
6,557079	0,7518
6,597120	0,7551
6,637159	0,7582
6,677200	0,7615
6,717240	0,7647
6,757279	0,7678
6,797320	0,7709
6,837359	0,7740
6,877400	0,7769
6,917440	0,7800
6,957479	0,7830
6,997520	0,7860
7,037560	0,7889
7,077599	0,7918
7,117640	0,7946
7,157679	0,7974
7,197720	0,8000
7,237776	0,8025
7,276805	0,8048
7,316840	0,8070
7,356880	0,8089
7,396919	0,8109
7,436959	0,8127
7,476999	0,8147
7,517039	0,8166
7,557079	0,8183
7,597119	0,8204
7,637159	0,8224
7,677199	0,8246
7,717239	0,8265
7,757279	0,8284
7,797319	0,8300
7,837359	0,8316
7,877399	0,8331
7,917439	0,8345
7,957479	0,8358
7,997519	0,8373
8,037559	0,8387
8,077599	0,8401
8,117639	0,8416
8,157679	0,8473
8,197719	0,8488
8,237775	0,8504
8,276803	0,8519
8,316855	0,8538
8,356882	0,8556
8,396918	0,8574
8,436957	0,8594
8,476998	0,8612
8,517038	0,8631
8,557077	0,8650
8,597118	0,8669
8,637157	0,8690
8,677198	0,8711
8,717238	0,8733
8,757277	0,8755
8,797318	0,8778
8,837358	0,8800
8,877398	0,8822
8,917438	0,8843
8,957477	0,8864
8,997518	0,8884
9,037558	0,8901
9,077598	0,8919
9,117638	0,8935
9,157677	0,8950
9,197718	0,8965
9,237758	0,8979
9,276814	0,8994
9,316854	0,9008
9,356894	0,9021
9,396918	0,9034
9,436957	0,9047
9,476997	0,9059
9,517055	0,9071
9,557077	0,9082
9,597117	0,9094
9,637157	0,9105
9,677197	0,9117
9,717237	0,9129
9,757277	0,9141
9,797317	0,9153
9,837357	0,9167
9,877397	0,9181
9,917437	0,9196
9,957477	0,9212
9,997517	0,9229
10,037557	0,9246
10,077597	0,9265
10,117655	0,9283
10,157677	0,9302
10,197717	0,9321
10,237757	0,9340
10,277797	0,9360
10,316853	0,9378
10,356882	0,9398
10,396920	0,9417
10,436955	0,9437
10,476996	0,9458
10,517036	0,9480
10,557075	0,9501
10,597116	0,9523
10,637155	0,9546
10,677196	0,9569
10,717236	0,9591
10,757275	0,9616
10,797316	0,9641
10,837355	0,9669
10,877396	0,9697
10,917436	0,9723
10,957475	0,9744
10,997516	0,9589
11,037555	0,9602
11,077596	0,9610
11,117636	0,9615
11,157675	0,9617
11,197716	0,9620
11,237756	0,9620
11,277796	0,9622
11,316836	0,9622
11,356892	0,9623
11,396919	0,9625
11,436959	0,9626
11,476995	0,9628
11,517035	0,9629
11,557075	0,9630
11,597115	0,9631
11,637155	0,9633
11,677195	0,9633
11,717235	0,9635
11,757275	0,9638
11,797315	0,9639
11,837355	0,9642
11,877395	0,9644
11,917435	0,9646
11,957475	0,9648
11,997515	0,9650
12,037555	0,9694
12,077595	0,9694
12,117635	0,9696
